date,hour,bdaddr
2022-04-21,14,398
2022-04-21,15,9484
2022-04-21,16,5503
2022-05-21,11,2919
2022-05-21,12,8501
2022-05-21,13,9031
2022-05-21,14,2570
2022-05-22,17,7063
2022-05-22,18,7164
2022-05-22,19,1081
2022-05-24,21,2935
2022-05-24,22,107
2022-05-24,23,809
2022-05-25,0,1861
2022-05-25,1,1695
2022-05-25,2,1714
2022-05-25,3,1700
2022-05-25,4,1106
2022-05-25,5,1790
2022-05-25,6,2075
2022-05-25,7,2508
2022-05-25,8,3196
2022-05-25,9,3309
2022-05-25,10,6316
2022-05-25,11,3153
2022-05-25,17,37686
2022-05-25,18,48116
2022-05-25,19,30969
2022-05-25,20,11165
2022-05-25,21,6930
2022-05-29,10,4546
2022-05-29,11,10250
2022-05-29,12,24652
2022-05-29,13,31138
2022-05-29,14,24972
2022-05-29,15,25507
2022-05-29,16,12681
