date,hour,bdaddr
2022-05-08,19,7475
2022-05-08,20,11668
2022-05-08,21,10298
2022-05-08,22,8242
2022-05-08,23,6512
2022-05-09,0,5307
2022-05-09,1,4886
2022-05-09,2,4670
2022-05-09,3,4597
2022-05-09,4,831
2022-05-09,5,4140
2022-05-09,6,7045
2022-05-09,7,13549
2022-05-09,8,18403
2022-05-09,9,16397
2022-05-09,10,16793
2022-05-09,11,18603
2022-05-09,12,23696
2022-05-09,13,19217
2022-05-09,14,20710
2022-05-09,15,19209
2022-05-09,16,17228
2022-05-09,17,19408
2022-05-09,18,19282
2022-05-09,19,16439
2022-05-09,20,11345
2022-05-09,21,8570
2022-05-09,22,7074
2022-05-09,23,6147
2022-05-10,0,4710
2022-05-10,1,4041
2022-05-10,2,3915
2022-05-10,3,3659
2022-05-10,4,656
2022-05-10,5,2919
2022-05-10,6,5524
2022-05-10,7,12902
2022-05-10,8,14655
2022-05-10,9,18833
2022-05-10,10,20397
2022-05-10,11,21938
2022-05-10,12,25849
2022-05-10,13,22928
2022-05-10,14,23145
2022-05-10,15,22076
2022-05-10,16,19702
2022-05-10,17,21702
2022-05-10,18,23037
2022-05-10,19,20665
2022-05-10,20,15306
2022-05-10,21,10835
2022-05-10,22,8540
2022-05-10,23,6761
2022-05-11,0,5164
2022-05-11,1,4465
2022-05-11,2,4416
2022-05-11,3,4217
2022-05-11,4,724
2022-05-11,5,3131
2022-05-11,6,6555
2022-05-11,7,12463
2022-05-11,8,16325
2022-05-11,9,16332
2022-05-11,10,15302
2022-05-11,11,15187
2022-05-11,12,17410
2022-05-11,13,16078
2022-05-11,14,17950
2022-05-11,15,16790
2022-05-11,16,17611
2022-05-11,17,18301
2022-05-11,18,19722
2022-05-11,19,14038
2022-05-11,20,12380
2022-05-11,21,9416
2022-05-11,22,7997
2022-05-11,23,5982
2022-05-12,0,4871
2022-05-12,1,4603
2022-05-12,2,4133
2022-05-12,3,3993
2022-05-12,4,384
2022-05-12,5,3219
2022-05-12,6,5667
2022-05-12,7,12547
2022-05-12,8,18594
2022-05-12,9,20811
2022-05-12,10,23883
2022-05-12,11,26082
2022-05-12,12,30274
2022-05-12,13,25393
2022-05-12,14,25133
2022-05-12,15,24995
2022-05-12,16,24690
2022-05-12,17,28108
2022-05-12,18,28690
2022-05-12,19,24473
2022-05-12,20,18105
2022-05-12,21,14165
2022-05-12,22,10804
2022-05-12,23,8023
2022-05-13,0,6604
2022-05-13,1,6467
2022-05-13,2,6404
2022-05-13,3,4632
2022-05-13,4,444
2022-05-13,5,3825
2022-05-13,6,6628
2022-05-13,7,12937
2022-05-13,8,17188
2022-05-13,9,20235
2022-05-13,10,26470
2022-05-13,11,27521
2022-05-13,12,29679
2022-05-13,13,26024
2022-05-13,14,28342
2022-05-13,15,23155
2022-05-13,16,23666
2022-05-13,17,23016
2022-05-13,18,23127
2022-05-13,19,20383
2022-05-13,20,18090
2022-05-13,21,16212
2022-05-13,22,10500
2022-05-13,23,8172
2022-05-14,0,6488
2022-05-14,1,5673
2022-05-14,2,5602
2022-05-14,3,5392
2022-05-14,4,454
2022-05-14,5,4049
2022-05-14,6,5636
2022-05-14,7,7839
2022-05-14,8,9676
2022-05-14,9,16037
2022-05-14,10,21887
2022-05-14,11,22896
2022-05-14,12,24220
2022-05-14,13,27413
2022-05-14,14,27783
2022-05-14,15,28589
2022-05-14,16,30137
2022-05-14,17,28079
2022-05-14,18,26483
2022-05-14,19,19696
2022-05-14,20,14802
2022-05-14,21,13363
2022-05-14,22,9938
2022-05-14,23,8278
2022-05-15,0,6652
2022-05-15,1,6393
2022-05-15,2,5746
2022-05-15,3,5211
2022-05-15,4,479
2022-05-15,5,4181
2022-05-15,6,6007
2022-05-15,7,7516
2022-05-15,8,9780
2022-05-15,9,17373
2022-05-15,10,23404
2022-05-15,11,23459
2022-05-15,12,26857
2022-05-15,13,29985
2022-05-15,14,30363
2022-05-15,15,31980
2022-05-15,16,29427
2022-05-15,17,26797
2022-05-15,18,24157
2022-05-15,19,20565
2022-05-15,20,16944
2022-05-15,21,11288
2022-05-15,22,10762
2022-05-15,23,6841
2022-05-16,0,4811
2022-05-16,1,4600
2022-05-16,2,4270
2022-05-16,3,4344
2022-05-16,4,385
2022-05-16,5,3826
2022-05-16,6,6508
2022-05-16,7,12015
2022-05-16,8,16731
2022-05-16,9,14096
2022-05-16,10,18669
2022-05-16,11,20360
2022-05-16,12,22418
2022-05-16,13,19186
2022-05-16,14,20336
2022-05-16,15,19246
2022-05-16,16,18465
2022-05-16,17,19605
2022-05-16,18,19571
2022-05-16,19,16065
2022-05-16,20,11940
2022-05-16,21,9236
2022-05-16,22,8403
2022-05-16,23,7047
2022-05-17,0,5741
2022-05-17,1,5283
2022-05-17,2,5122
2022-05-17,3,5092
2022-05-17,4,461
2022-05-17,5,4155
2022-05-17,6,7285
2022-05-17,7,13472
2022-05-17,8,17743
2022-05-17,9,17635
2022-05-17,10,16146
2022-05-17,11,19529
2022-05-17,12,23206
2022-05-17,13,20080
2022-05-17,14,20899
2022-05-17,15,19751
2022-05-17,16,20767
2022-05-17,17,19818
2022-05-17,18,19229
2022-05-17,19,17480
2022-05-17,20,13396
2022-05-17,21,10452
2022-05-17,22,9179
2022-05-17,23,6605
2022-05-18,0,5932
2022-05-18,1,5080
2022-05-18,2,4940
2022-05-18,3,4715
2022-05-18,4,464
2022-05-18,5,2817
2022-05-18,6,7035
2022-05-18,7,13437
2022-05-18,8,20251
2022-05-18,9,17072
2022-05-18,10,19137
2022-05-18,11,20517
2022-05-18,12,23878
2022-05-18,13,24721
2022-05-18,14,24169
2022-05-18,15,23121
2022-05-18,16,23785
2022-05-18,17,24699
2022-05-18,18,22163
2022-05-18,19,17144
2022-05-18,20,12153
2022-05-18,21,10465
2022-05-18,22,9087
2022-05-18,23,6943
2022-05-19,0,5880
2022-05-19,1,5170
2022-05-19,2,4906
2022-05-19,3,3316
2022-05-19,4,3374
2022-05-19,5,4989
2022-05-19,6,6652
2022-05-19,7,25
