date,hour,minute,bdaddr
2022-04-21,4,50,168
2022-04-21,5,30,150
2022-04-21,5,35,213
2022-04-21,12,45,85
2022-04-21,12,50,871
2022-04-21,12,55,535
2022-04-26,18,40,386
2022-04-26,18,45,680
2022-04-26,18,50,680
2022-04-26,18,55,405
2022-04-26,19,0,144
2022-04-26,19,5,352
2022-04-26,19,10,325
2022-04-26,19,15,336
2022-04-26,19,20,399
2022-04-26,19,25,333
2022-04-26,19,30,306
2022-04-26,19,35,285
2022-04-26,19,40,246
2022-04-26,19,45,196
2022-04-26,19,50,184
2022-04-26,19,55,194
2022-04-26,20,0,237
2022-04-26,20,5,98
2022-04-26,20,10,116
2022-04-26,20,15,98
2022-04-26,20,20,121
2022-04-26,20,25,188
2022-04-26,20,30,108
2022-04-26,20,35,120
2022-04-26,20,40,169
2022-04-26,20,45,135
2022-04-26,20,50,75
2022-04-26,20,55,64
2022-04-26,21,0,92
2022-04-26,21,5,119
2022-04-26,21,10,124
2022-04-26,21,15,93
2022-04-26,21,20,119
2022-04-26,21,25,59
2022-04-26,21,30,13
2022-04-26,21,35,77
2022-04-26,21,40,58
2022-04-26,21,45,58
2022-04-26,21,50,57
2022-04-26,21,55,40
2022-04-26,22,0,30
2022-04-26,22,5,35
2022-04-26,22,10,37
2022-04-26,22,15,32
2022-04-26,22,20,36
2022-04-26,22,25,30
2022-04-26,22,30,31
2022-04-26,22,35,33
2022-04-26,22,40,30
2022-04-26,22,45,34
2022-04-26,22,50,42
2022-04-26,22,55,39
2022-04-26,23,0,11
2022-04-26,23,5,25
2022-04-26,23,10,29
2022-04-26,23,15,29
2022-04-26,23,20,42
2022-04-26,23,25,32
2022-04-26,23,30,6
2022-04-26,23,35,30
2022-04-26,23,40,30
2022-04-26,23,45,29
2022-04-26,23,50,33
2022-04-26,23,55,29
2022-04-27,0,0,26
2022-04-27,0,5,27
2022-04-27,0,10,6
2022-04-27,0,15,28
2022-04-27,0,20,33
2022-04-27,0,25,28
2022-04-27,0,30,30
2022-04-27,0,35,28
2022-04-27,0,40,36
2022-04-27,0,45,29
2022-04-27,0,50,32
2022-04-27,0,55,28
2022-04-27,1,0,27
2022-04-27,1,5,30
2022-04-27,1,10,32
2022-04-27,1,15,27
2022-04-27,1,20,28
2022-04-27,1,25,28
2022-04-27,1,30,29
2022-04-27,1,35,28
2022-04-27,1,40,33
2022-04-27,1,45,27
2022-04-27,1,50,31
2022-04-27,1,55,26
2022-04-27,2,0,26
2022-04-27,2,5,30
2022-04-27,2,10,29
2022-04-27,2,15,26
2022-04-27,2,20,31
2022-04-27,2,25,27
2022-04-27,2,30,31
2022-04-27,2,35,30
2022-04-27,2,40,29
2022-04-27,2,45,27
2022-04-27,2,50,30
2022-04-27,2,55,30
2022-04-27,3,0,28
2022-04-27,3,5,28
2022-04-27,3,10,29
2022-04-27,3,15,28
2022-04-27,3,20,27
2022-04-27,3,25,30
2022-04-27,3,30,29
2022-04-27,3,35,28
2022-04-27,3,40,44
2022-04-27,3,45,34
2022-04-27,3,50,6
2022-04-27,3,55,27
2022-04-27,4,0,26
2022-04-27,4,5,16
2022-04-27,4,15,1
2022-04-27,4,25,1
2022-04-27,4,30,1
2022-04-27,4,35,22
2022-04-27,4,45,1
2022-04-27,4,50,2
2022-04-27,4,55,21
2022-04-27,5,10,17
2022-04-27,5,15,32
2022-04-27,5,20,33
2022-04-27,5,25,63
2022-04-27,5,30,60
2022-04-27,5,35,32
2022-04-27,5,40,6
2022-04-27,5,45,28
2022-04-27,5,50,30
2022-04-27,5,55,29
2022-04-27,6,0,40
2022-04-27,6,5,81
2022-04-27,6,10,172
2022-04-27,6,15,182
2022-04-27,6,20,222
2022-04-27,6,25,220
2022-04-27,6,30,181
2022-04-27,6,35,170
2022-04-27,6,40,219
2022-04-27,6,45,142
2022-04-27,6,50,24
2022-04-27,6,55,136
2022-04-27,7,0,111
2022-04-27,7,5,119
2022-04-27,7,10,307
2022-04-27,7,15,352
2022-04-27,7,20,361
2022-04-27,7,25,369
2022-04-27,7,30,384
2022-04-27,7,35,407
2022-04-27,7,40,476
2022-04-27,7,45,474
2022-04-27,7,50,511
2022-04-27,7,55,534
2022-04-27,8,0,555
2022-04-27,8,5,514
2022-04-27,8,10,513
2022-04-27,8,15,529
2022-04-27,8,20,628
2022-04-27,8,25,637
2022-04-27,8,30,800
2022-04-27,8,35,861
2022-04-27,8,40,1115
2022-04-27,8,45,1166
2022-04-27,8,50,1228
2022-04-27,8,55,719
2022-04-27,9,0,630
2022-04-27,9,5,1442
2022-04-27,9,10,1692
2022-04-27,9,15,1744
2022-04-27,9,20,1997
2022-04-27,9,25,1358
2022-04-27,9,30,362
2022-04-27,9,35,2203
2022-04-27,9,40,2458
2022-04-27,9,45,2496
2022-04-27,9,50,2544
2022-04-27,9,55,2603
2022-04-27,10,0,2541
2022-04-27,10,5,3171
2022-04-27,10,10,3547
2022-04-27,10,15,3126
2022-04-27,10,20,3212
2022-04-27,10,25,2301
2022-04-27,10,35,2635
2022-04-27,10,40,3812
2022-04-27,10,45,3749
2022-04-27,10,50,3464
2022-04-27,10,55,3249
2022-04-27,11,0,3169
2022-04-27,11,5,3176
2022-04-27,11,10,3329
2022-04-27,11,15,2948
2022-04-27,11,20,3493
2022-04-27,11,25,3336
2022-04-27,11,30,3270
2022-04-27,11,35,3020
2022-04-27,11,40,3076
2022-04-27,11,45,2794
2022-04-27,11,50,2823
2022-04-27,11,55,2596
2022-04-27,12,0,2611
2022-04-27,12,5,2911
2022-04-27,12,10,3178
2022-04-27,12,15,2770
2022-04-27,12,20,3255
2022-04-27,12,25,3399
2022-04-27,12,30,3840
2022-04-27,12,35,3620
2022-04-27,12,40,3965
2022-04-27,12,45,3779
2022-04-27,12,50,3406
2022-04-27,12,55,2726
2022-04-27,13,0,2527
2022-04-27,13,5,2609
2022-04-27,13,10,2605
2022-04-27,13,15,2284
2022-04-27,13,20,2671
2022-04-27,13,25,2612
2022-04-27,13,30,2884
2022-04-27,13,35,2769
2022-04-27,13,40,2815
2022-04-27,13,45,2733
2022-04-27,13,50,3060
2022-04-27,13,55,2998
2022-04-27,14,0,3044
2022-04-27,14,5,3031
2022-04-27,14,10,3306
2022-04-27,14,15,3231
2022-04-27,14,20,3522
2022-04-27,14,25,2922
2022-04-27,14,30,3057
2022-04-27,14,35,2912
2022-04-27,14,40,3141
2022-04-27,14,45,2828
2022-04-27,14,50,3065
2022-04-27,14,55,2995
2022-04-27,15,0,2665
2022-04-27,15,5,2743
2022-04-27,15,10,3260
2022-04-27,15,15,3244
2022-04-27,15,20,3352
2022-04-27,15,25,3165
2022-04-27,15,30,3170
2022-04-27,15,35,3057
2022-04-27,15,40,3280
2022-04-27,15,45,2964
2022-04-27,15,50,2963
2022-04-27,15,55,2847
2022-04-27,16,0,3072
2022-04-27,16,5,3220
2022-04-27,16,10,3522
2022-04-27,16,15,3129
2022-04-27,16,20,3022
2022-04-27,16,25,2514
2022-04-27,16,30,2597
2022-04-27,16,35,1632
2022-04-27,16,45,2118
2022-04-27,16,50,2841
2022-04-27,16,55,2585
2022-04-27,17,0,2292
