date,hour,bdaddr
2022-05-14,14,21384
2022-05-14,15,21560
2022-05-14,16,22784
2022-05-14,17,24194
2022-05-14,18,19367
2022-05-14,19,19336
2022-05-14,20,14714
2022-05-14,21,10825
2022-05-14,22,9933
2022-05-14,23,7520
2022-05-15,0,5540
2022-05-15,1,3239
2022-05-15,2,2294
2022-05-15,3,1802
2022-05-15,4,1541
2022-05-15,5,2158
2022-05-15,6,2880
2022-05-15,7,6147
2022-05-15,8,9412
2022-05-15,9,13119
2022-05-15,10,14884
2022-05-15,11,19105
2022-05-15,12,21677
2022-05-15,13,21827
2022-05-15,14,23016
2022-05-15,15,24819
2022-05-15,16,24009
2022-05-15,17,22233
2022-05-15,18,19603
2022-05-15,19,16599
2022-05-15,20,13345
2022-05-15,21,8149
2022-05-15,22,4885
2022-05-15,23,3718
2022-05-16,0,3232
2022-05-16,1,2443
2022-05-16,2,1845
2022-05-16,3,1552
2022-05-16,4,1341
2022-05-16,5,2147
2022-05-16,6,4432
2022-05-16,7,14710
2022-05-16,8,26972
2022-05-16,9,25347
2022-05-16,10,23355
2022-05-16,11,23748
2022-05-16,12,27389
2022-05-16,13,24644
2022-05-16,14,25133
2022-05-16,15,24412
2022-05-16,16,23854
2022-05-16,17,29754
2022-05-16,18,29057
2022-05-16,19,24205
2022-05-16,20,18150
2022-05-16,21,10147
2022-05-16,22,8799
2022-05-16,23,5096
2022-05-17,0,3050
2022-05-17,1,1724
2022-05-17,2,1595
2022-05-17,3,1426
2022-05-17,4,1214
2022-05-17,5,2078
2022-05-17,6,4116
2022-05-17,7,14310
2022-05-17,8,27768
2022-05-17,9,23711
2022-05-17,10,22687
2022-05-17,11,22975
2022-05-17,12,29222
2022-05-17,13,25463
2022-05-17,14,23244
2022-05-17,15,23826
2022-05-17,16,25720
2022-05-17,17,31947
2022-05-17,18,29941
2022-05-17,19,24707
2022-05-17,20,1500
2022-05-21,10,2458
2022-05-21,11,10242
2022-05-21,12,13163
2022-05-21,13,14676
2022-05-21,14,3658
2022-05-24,21,4885
2022-05-24,22,415
2022-05-24,23,1667
2022-05-25,0,2319
2022-05-25,1,2034
2022-05-25,2,1959
2022-05-25,3,1845
2022-05-25,4,1597
2022-05-25,5,1995
2022-05-25,6,2910
2022-05-25,7,5726
2022-05-25,8,8957
2022-05-25,9,7189
2022-05-25,10,9444
2022-05-25,11,3991
